Brand,Model,AccelSec,TopSpeed_KmH,TopSpeed_Mi_S,Range_Km,Range_mi,Efficiency_WhKm,Efficiency_MPGe,FastCharge_KmH,FastCharge_MiS,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,PriceDollar
Ford ,Mustang Mach-E SR AWD,6,180,50,340,211.26614,206,101.6665825,360,100,Yes,AWD,Type 2 CCS,SUV,D,5,54000,58860
Porsche ,Taycan Turbo,3.2,260,72.22222222,390,242.33469,215,97.41077209,810,225,Yes,AWD,Type 2 CCS,Sedan,F,4,148301,161648.09
Volkswagen ,ID.3 1st,7.3,160,44.44444444,340,211.26614,171,122.4755322,470,130.5555556,Yes,RWD,Type 2 CCS,Hatchback,C,5,38987,42495.83
Tesla ,Model X Performance,2.8,250,69.44444444,440,273.40324,216,96.9597963,480,133.3333333,Yes,AWD,Type 2,SUV,F,7,102990,112259.1
Smart ,EQ fortwo coupe,11.6,130,36.11111111,100,62.1371,167,125.4090778,-,#VALUE!,No,RWD,Type 2,Hatchback,A,2,21387,23311.83
Ford ,Mustang Mach-E SR RWD,6.6,180,50,360,223.69356,194,107.9552371,380,105.5555556,Yes,RWD,Type 2 CCS,SUV,D,5,46900,51121
Mercedes ,EQV 300 Long,10,140,38.88888889,330,205.05243,273,76.71544322,290,80.55555556,Yes,FWD,Type 2 CCS,SPV,N,7,70631,76987.79
Fiat ,500e Hatchback,9,150,41.66666667,250,155.34275,168,124.6625952,330,91.66666667,Yes,FWD,Type 2 CCS,Hatchback,B,4,34900,38041
Tesla ,Cybertruck Single Motor,7,180,50,390,242.33469,256,81.80982813,740,205.5555556,Yes,RWD,Type 2 CCS,Pickup,N,6,45000,49050
Audi ,e-tron Sportback 50 quattro,6.8,190,52.77777778,295,183.304445,219,95.63157991,470,130.5555556,Yes,AWD,Type 2 CCS,SUV,E,5,69551,75810.59
Skoda ,Enyaq iV vRS,6.2,180,50,400,248.5484,193,108.5145907,540,150,Yes,AWD,Type 2 CCS,SUV,C,5,47500,51775
Skoda ,Enyaq iV 60,9,160,44.44444444,320,198.83872,181,115.7089282,440,122.2222222,Yes,RWD,Type 2 CCS,SUV,C,5,37500,40875
Audi ,e-tron S 55 quattro,4.5,210,58.33333333,320,198.83872,270,77.56783704,510,141.6666667,Yes,AWD,Type 2 CCS,SUV,E,5,93800,102242
Smart ,EQ fortwo cabrio,11.9,130,36.11111111,95,59.030245,176,118.9961136,-,#VALUE!,No,RWD,Type 2,Cabrio,A,2,24565,26775.85
Kia ,e-Soul 64 kWh,7.9,167,46.38888889,365,226.800415,175,119.6760914,320,88.88888889,Yes,FWD,Type 2 CCS,SUV,B,5,36837,40152.33
Nissan ,Ariya e-4ORCE 87kWh,5.7,200,55.55555556,420,260.97582,207,101.1754396,500,138.8888889,Yes,AWD,Type 2 CCS,Hatchback,C,5,57500,62675
Fiat ,500e Convertible,9,150,41.66666667,250,155.34275,168,124.6625952,330,91.66666667,Yes,FWD,Type 2 CCS,Cabrio,B,4,37900,41311
Volkswagen ,ID.3 Pro Performance,7.3,160,44.44444444,340,211.26614,171,122.4755322,470,130.5555556,Yes,RWD,Type 2 CCS,Hatchback,C,5,35575,38776.75
Kia ,e-Soul 39 kWh,9.9,157,43.61111111,230,142.91533,170,123.1959765,220,61.11111111,Yes,FWD,Type 2 CCS,SUV,B,5,33133,36114.97
Byton ,M-Byte 72 kWh 2WD,7.5,190,52.77777778,325,201.945575,222,94.33926126,420,116.6666667,Yes,RWD,Type 2 CCS,SUV,E,5,53500,58315
Nissan ,Ariya 63kWh,7.5,160,44.44444444,330,205.05243,191,109.6508691,440,122.2222222,Yes,FWD,Type 2 CCS,Hatchback,C,5,45000,49050
Audi ,e-tron S Sportback 55 quattro,4.5,210,58.33333333,335,208.159285,258,81.17564341,540,150,Yes,AWD,Type 2 CCS,SUV,E,5,96050,104694.5
Nissan ,Ariya e-4ORCE 63kWh,5.9,200,55.55555556,325,201.945575,194,107.9552371,440,122.2222222,Yes,AWD,Type 2 CCS,Hatchback,C,5,50000,54500
Nissan ,Ariya e-4ORCE 87kWh Performance,5.1,200,55.55555556,375,233.014125,232,90.27291379,450,125,Yes,AWD,Type 2 CCS,Hatchback,C,5,65000,70850
Byton ,M-Byte 95 kWh 2WD,7.5,190,52.77777778,400,248.5484,238,87.99712605,480,133.3333333,Yes,AWD,Type 2 CCS,SUV,E,5,62000,67580
